identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000001,"Baseball Team, Mountain View",1906-01-01,Unknown,"Standing left to right: John Parreira, Emmet Graham, Emil Darriman, Mgr;Roche #1 Rooter, Frank Farry, Toney Vargas, Joseph carreira, Frank Foley;Seated left to right: Joseph Rose, Jack Lyons, Shorig Perreira. Mountain View, California.",PHA A1 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000002,Baseball Game,1906-08-19,Unknown,"Fans seated at baseball game. Mountain View, California.",PHA A1 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000004,"Adobe Building, 1935 painting",1935-01-01,Robert Weaver Photography,"Picture of an oil painting by R. Ormand Newfarmer in 1935. Mountain View, California.",PHA B1 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000005,"Adobe Building, Community Center Building",,Robert Weaver Photography,"Picture of a picture of the Adobe Building. Mountain View, California.",PHA B1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000006,"Adobe Building, Mountain View",1974-01-01,"Wilson, Ruth","Photo taken Oct. 10, 1974;Ruth Wilson/Palo Alto Times. Mountain View, California.",PHA B1 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000007,"Adobe Building, late 60s early 70s",1966-01-01,Unknown,"Adobe Building Late 60s early 70s. Mountain View, California.",PHA B1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000008,Laying Cornerstone of Town Hall,1909-01-01,Unknown,"Nov. 30, 1909. PostCard sent 1/11/1911 from San Francisco;Donated by Mrs. Nell Berryessa (nee Garliepp) 1970;Parade on Castro Street. Mountain View, California.",PHA B2 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000009,Laying Cornerstone of Town Hall,1909-01-01,Unknown,"Nov. 30, 1909. Paden Home in foreground on the right, now the location of the California. Apartments, corner of Hope Street and California. Avenue. Home of Richard McDonald, 696 California. Street (next to windmill);PostCard sent 6/12/1913 to J.J. Dale;Text on back: Jimmy pleas (sic) call at the store when you can. We want to see you. Milner and Sam. Mountain View, California.",PHA B2 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000010,"City Hall, Mountain View, California; Located on the southeast corner of California and Castro Streets, facing Castro Street.",,Unknown,"401 Castro Street, built 1909. Used as City Hall to 1959, building demolished 1962;Donated 7/28/1976. Mountain View, California.",PHA B2 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000011,Dancer Ibis Statue in Civic Center,1992-01-01,Mountain View Voice,"Named ""Ibis"" located in lobby of City Hall. November, 1992. Mountain View, California.",PHA B02,Copyright status unknown.,City of Mountain View Public Library,1
